number,title,slug,primary_intent,audience,primary_keyword,secondary_keywords,seo,aeo,geo,aio,core_subtopics
35,Answer Engine Optimization (AEO),answer-engine-optimization,Informational,"SEO leads, content strategists",answer engine optimization,featured snippets; People Also Ask; FAQ schema; voice search,Emerging head term with fast-growing demand.,The pillar is itself the discipline — maximal snippet capture.,Answer formatting rules are cited by AI systems explaining themselves.,Overlaps with assistant-driven discovery.,Featured snippets; People Also Ask; FAQ schema; Answer formatting; Voice search; Question research; Concise answers; Snippet defence
36,Generative Engine Optimization (GEO),generative-engine-optimization,Informational → Commercial investigation,"Forward-looking SEO leads, founders",generative engine optimization,AI search visibility; AI Overviews; LLM citations; Perplexity SEO,New head term with low competition and high strategic value.,Definitional questions about GEO.,The pillar is the discipline — original frameworks maximise citation odds.,Directly adjacent to AI search behaviour.,AI citation mechanics; Brand mentions in LLMs; AI Overviews; Perplexity visibility; Content structuring for LLMs; llms.txt; Measuring AI visibility; Source authority
37,AI Search Optimization and AI-Assisted Marketing (AIO),ai-optimization,Informational → Commercial,"Marketing operators, growth engineers",AI marketing,AI SEO; AI content; marketing AI agents; prompt engineering,Fast-rising AI-marketing terms.,Tool and capability questions.,Workflow blueprints earn citations.,The pillar is the discipline.,AI content workflows; AI agents; Prompt engineering; AI personalisation; AI analytics; Human review; AI governance; Tool selection
38,Marketing Automation and Workflow Orchestration,marketing-automation,Commercial investigation,"Marketing ops, RevOps, technical marketers",marketing automation,workflow automation; lead scoring; integrations; webhooks,Platform and workflow terms with strong buying intent.,Definition and selection questions.,Architecture patterns are citable.,AI-driven orchestration and decisioning.,Workflow design; Lead scoring; Cross-channel triggers; Data sync; Integrations; Webhooks; Testing; Platform selection
39,Paid Search and Google Ads,google-ads-ppc,Commercial → Transactional,"PPC managers, e-commerce, lead-gen businesses",Google Ads,PPC; Quality Score; Performance Max; search ads,High-CPC commercial terms.,Cost and setup questions answer directly.,Auction mechanics and benchmark CPCs are citable facts.,"AI bidding, PMax and automated asset generation.",Campaign structure; Keyword match types; Quality Score; Bidding strategies; Performance Max; Shopping ads; Negative keywords; Budget pacing
40,Meta Ads and Paid Social,meta-ads-paid-social,Commercial → Transactional,"D2C marketers, media buyers, agencies",Meta Ads,Facebook ads; Instagram ads; retargeting; Advantage+,High-volume commercial terms.,Targeting and cost questions.,Algorithm mechanics and benchmark CPMs are citable.,AI creative testing and Advantage+ automation.,Campaign objectives; Audience targeting; Creative testing; Advantage+; Pixel and CAPI; Retargeting; Attribution; Scaling
41,Social Media Marketing and Community,social-media-marketing,Informational → Commercial,"Social media managers, brand teams",social media marketing,content calendar; social strategy; community management; social listening,Broad head terms plus platform long-tail.,Best-time-to-post and format questions.,Platform benchmark data is citable.,"AI scheduling, captioning and trend detection.",Platform strategy; Content formats; Posting cadence; Community management; Social listening; Employee advocacy; Social commerce; Crisis response
42,Conversion Rate Optimization and Landing Pages,conversion-optimization,Informational → Commercial,"Growth marketers, CRO specialists, product teams",conversion rate optimization,landing page optimisation; A/B testing; form conversion; CRO,Strong commercial mid-tail.,'What is a good conversion rate' benchmarks.,Test methodology and benchmark data are citable.,AI variant generation and predictive testing.,Landing page anatomy; A/B testing; User research; Heatmaps; Form optimisation; Social proof; Page speed and CRO; Personalisation
43,"Web Analytics, Data and Privacy",web-analytics-privacy,Informational → How-to,"Analysts, marketing ops, compliance",web analytics,GA4; event tracking; server-side tagging; consent mode,GA4 and tracking long-tail with troubleshooting intent.,Setup and definition questions.,Privacy regulations and measurement models are citable.,AI insight generation and anomaly explanation.,GA4 setup; Event tracking; Server-side tagging; Consent mode; Cookieless measurement; Data layers; Dashboards; Data quality
44,Lead Generation and CRM Operations,lead-generation-crm,Commercial,"Demand gen, sales ops, B2B marketers",lead generation,lead scoring; CRM; MQL; lead nurturing,High-value commercial terms.,Definition and process questions.,"Qualification frameworks (MQL/SQL, BANT) are citable.",AI lead scoring and enrichment.,Lead capture; Lead magnets; Qualification frameworks; Lead scoring; Routing and SLAs; CRM hygiene; Nurture tracks; Sales handoff
45,"Customer Retention, Loyalty and Lifecycle",customer-retention,Informational → Commercial,"Lifecycle marketers, CS leads, e-commerce",customer retention,churn reduction; customer lifetime value; loyalty programme; win-back,Retention and churn terms.,'How do I reduce churn' answers.,Retention formulas and benchmarks are citable.,AI churn prediction and next-best-offer.,Churn analysis; Loyalty programmes; Onboarding; Win-back; NPS and CSAT; Customer lifetime value; Referral programmes; Retention cohorts
46,B2B and SaaS Marketing,b2b-saas-marketing,Commercial investigation,"B2B marketers, SaaS founders, demand gen",B2B marketing,SaaS marketing; demand generation; product-led growth; account-based marketing,"High-value, low-volume decision terms.",Definition and benchmark questions.,SaaS benchmark metrics are heavily cited.,AI for ABM research and personalisation.,Demand generation; Account-based marketing; Product-led growth; Free trials; Pricing pages; Sales enablement; Case studies; Category creation
47,E-commerce and D2C Growth Marketing,ecommerce-marketing,Commercial → Transactional,"Store owners, D2C marketers, agencies",ecommerce marketing,cart abandonment; average order value; D2C growth; product launch,Revenue-linked commercial terms.,Tactic and benchmark questions.,Conversion and AOV benchmarks are citable.,AI merchandising and personalised offers.,Product launches; AOV growth; Cart recovery; Subscriptions; Marketplace strategy; Seasonal peaks; Post-purchase; Returns experience
48,"Affiliate, Influencer and Partnership Marketing",affiliate-influencer-marketing,Commercial,"Partnership managers, D2C brands, publishers",affiliate marketing,influencer marketing; partnership marketing; commission structure; creator collaboration,Programme and commission terms.,'How does affiliate marketing work' answers.,Commission models and disclosure rules are citable.,AI creator discovery and fraud detection.,Programme setup; Commission models; Affiliate recruitment; Influencer selection; Creator briefs; Disclosure rules; Fraud prevention; Partner enablement
49,"Brand, Reputation and Review Management",brand-reputation-management,Informational → Commercial,"Brand managers, founders, local businesses",online reputation management,review management; branded search; knowledge panel; sentiment analysis,Reputation and branded-search terms.,'How do I remove a bad review' answers.,Brand entity consistency directly shapes AI descriptions of a company.,AI review response and sentiment monitoring.,Review generation; Review responses; Branded SERP control; Crisis management; Sentiment monitoring; Knowledge panels; Entity consistency; Employer brand
50,Small Business and Local Digital Marketing,small-business-marketing,Informational → Commercial,"Small business owners, solo marketers, local services",small business marketing,low budget marketing; local marketing; DIY marketing; marketing for startups,"High-volume, low-competition practical terms.",Cost and starting-point questions dominate.,Budget benchmarks and starter frameworks are citable.,Affordable AI tooling for small teams.,Starter strategies; Low-budget tactics; DIY vs hire; Local channels; Free tools; Time management; First 90 days; Measuring on a budget
